name,description,icon,summary,rating,price,rank,date_latest,reviews,keywords
‎Join Clash,"Epic survival run! Racing adventure that will keep you on your toes till the very end! Race, Clash, and Win! Get your gang together, run with the crowd, and clash against the rival team!  GATHER THE BIGGEST CROWD Start running alone and gather people on your way to collect a massive crowd. Lead your team through all sorts of moving, rotating, and expanding obstacles. Calculate your moves on the run and save as many members of the crowd as possible.  RACE THROUGH THE OBSTACLES Let’s see how far you can get in this crazy survival race! Dodge swinging axes and colossal crushing spheres! Avoid monstrous circular saws, deadly red buttons, and a thorny abyss to make it to the finish line.  WIN FINAL CLASH Run the crowd until you reach the castle at the end of the level. Crush your rivals in the final battle and capture the fortress! ~~~~~~~~~~~~~~~~~~ HOW TO PLAY ~~~~~~~~~~~~~~~~~~ GATHER as huge a crowd as you can: DODGE obstacles COLLECT keys CLASH wall-on-wall FIGHT against bosses CAPTURE castles ~~~~~~~~~~~~~~~~~~ GAME FEATURES ~~~~~~~~~~~~~~~~~~ Survival city game Lots of unique levels Deadly traps and impossible obstacles Crisp bright graphics Super smooth swipe control Satisfying color explosions Rewards and gifts And this is just the beginning… More levels and artful traps and obstacles are coming soon!  Do you think you have the guts to take your crowd through this insane obstacle course? Download the game and try your luck today!  We are looking forward to getting feedback from all of you! Please leave your reviews, so we can keep making the game even better.",https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/d8/a1/e8/d8a1e86d-e150-4c86-18a4-58ef4d221af3/AppIcon-1x_U007emarketing-0-7-0-85-220.png/1200x630wa.png,Fill the City with Crowd!,4.6 • 200.6K Ratings,Free,#6 in Action,"October 1, 2020","Hopefully I have your attention! So first off, nice game! Easy controls, idle feeling, a very good game to play while you are winding down in bed! As a bunch of people have said, there are **WAY TOO MANY ADS** 🙄😒I will get so bored of an ad pop up, I’ll go play something else. It’s a very easily addictive game once you remove at least half the ads. I have no idea if you recently updated it so that the group will jump/move fast or the castle thing but I like it!😍 Really peaked my interest! However, seems pointless. Why build a castle when you are never defending it or something! As well as the “opponents” names, we all know it’s a computer. 😖All in all, it is a VERY good game! I already enjoy the graphics, the gameplay, and the whole vibe and I’m excited to see what you have in store for this app! 🔥🔥 Love the game it’s great it’s amazing beautiful masterpiece the thing you’ve created. BUT the ads are just a little too common and secondly when I say no thanks to watching an ad so I can get a bigger prize at the end of a round that last thing I would have expected, was an ad after I said no to an ad if I wanted to see one at that moment I would’ve pressed the button for the extra coins. Now I understand that ads is how you make money and you gotta hustle, but I think we both know that the dominant is the enjoyment of the games users so please lower the ad count and maybe new people or former users can cone back since there are fewer ads and make up for the revenue loss of decreasing the ad rate. So please just take a moment to understand where we’re coming from This game is great for killing time, winding down, etc.  easy controls, idle feeling, and simplistic too, but that simplicity feels a bit low effort for the amount of money spent on advertising this very game.  And once you download this game, there is not near enough to this game to justify the amount of ads it has.  Frustrates me and bores me to the point that with too many long ads, I’ll play something else.  Good idea, but low effort for what they do with whatever ad money they make.  Also, it will ask if I want to watch an ad to get a bigger reward.  I’ll say “No Thanks.”  TOO BAD watch an ad anyway, but with only the original reward.  That right there is the easiest way to get your game uninstalled.  But it seems to have gotten better about that for now. ","Join Clash, SUPERSONIC STUDIOS LTD, Games, Casual, Entertainment, Action, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Survivalcraft 2 Day One,"You are marooned on the shores of an infinite blocky world. Explore, mine resources, craft tools and weapons, make traps and grow plants. Tailor clothes and hunt over 30 real world animals for food and resources. Build a shelter to survive cold nights and share your worlds online. Ride horses, camels or donkeys and herd cattle to protect them from predators. Blast your way through the rock with explosives. Build complex electric devices. Craft custom furniture. Paint. Use pistons to build moving machines. Farm crops and plant trees. Make and combine 40 different items of clothing to protect yourself from attacks and weather or to look smart. Play with up to 3 friends using split screen. Possibilities are infinite in this long-running sandbox survival and construction game series.   Enjoy! What's in the 2.2 update: - Terrain height doubled to 256 blocks - Increased number of inventory slots to 10 - Fixed glitches when too many complex blocks in one place - Added flat island mode - Added Great White Sharks - Tools overhaul - Terrain generation overhaul - New lighting model - Food takes longer to rot, rotten food turns into compost - Rain drops generate particles when striking ground - Added starting location option: Easy, Medium and Hard - Added Mimosa trees ... and many more: see full list of over 70 changes on our website",https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/eb/c6/f7/ebc6f766-b66d-dcce-0801-da5ef9a7a970/AppIcon-0-0-1x_U007emarketing-0-0-0-4-85-220-0.png/1200x630wa.png,Advanced Survival and Creative,3.5 • 614 Ratings,Free,#144 in Adventure,"January 2, 2020","I was considering buying the full version. I wanted a cheap alternative to Minecraft. But, honestly, don’t cheap out and buy this one. After my experience with this demo it really doesn’t appeal to the audience of Minecraft. It doesn’t have the expectations Minecraft does. I can understand that Microsoft is a big company and can push updates regularly, and come up with many unique things in their game like the Nether, the marketplace with community created maps, behavior packs, music, texture packs and so much more! For a couple extra dollars, you can have an overall better experience. Don’t cheap out on this game, it just isn’t really worth it compared to its competitor. I wouldn’t say this is a direct ripoff, either. I would rather label it as “inspiration.” Now I’ve played most god these games and I love them, but I’m gonna suggest some more things to enhance the game.Try to add ruined military operations from the USSR and the US, like adding tanks, destroyers (RARE), and (LEGENDARY) an bomber or jet fighter, I know this is kinda modern but it adds a lot of history of what might of happened on a area.(Add submarines if possible too please) And also add more guns, like a AA turret to get rid of NPC fighters, (this is rare and they might take you to a somehow operational base, unless they think ur hostile, (don’t hold a weapon) and also add MG guns and old WWII rifles and assault rifles, this will enhance how much u can use to defend a area.Last suggestion : add NPC soldiers, boats, and planes. And a radio, also some medical equipment. This will give a challenge if they are allies with you and they could help you out somehow. But be warned, some will be hostile if you hold a weapon. Unless they already met you and know ur safe. And I’m done with the ideas. But dev if your reading this thank you for creating these games and I hope you take my ideas, I also hope it’s not too much for the game and too much to ask. So I love this could you add flint & steel and steel armor also add s a shield and iron gold diamond netherite and add enchanted books anvils and a portal that leads to the nether and another that leads to the enter dragon and add seed for it and add it to where it is not very hard add a tutorial when you are new to the game from building a house or a camp site on survival and add a bell and villages and more furniture like a switch that connects to a nearest lamp and add lamps to the game Like the one in the actual Minecraft that’s not copy right make your own bell that’s way different from the bell Actual bell that’s cool and add five nights at freddys and servers and multi player where you click play it has worlds friends servers multiplayer worlds. ","Survivalcraft 2 Day One, Igor Kalicinski, Games, Action, Adventure, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Samurai Slash - Run & Slice,"You are the last samurai. Cut off the bullets and chop up the ennemies ! Dash & cut accross 5+ worlds  Swipe and slash eveything. Face fearsome bosses & killer fruits  Enjoy an Action packed chase through 40+ levels of crazy slashing action Uppgrade your character, fight your way to the top, unlock all legendary weapons, and become the Ultimate Samurai Master",https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/d9/f8/ec/d9f8ec01-51c6-c370-ff75-78aa93310763/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/1200x630wa.png,Fun Dash & Cut game,5.0 • 6 Ratings,Free,,,,"Samurai Slash - Run & Slice, Ketchapp, Games, Entertainment, Action, Casual, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎MilkChoco - Online FPS,"Battle Royale Mode released!! : Survival mode to be the last one in 100 players. 5 vs 5 multiplay shooting game. Cute Graphics and Voices! Here comes to show you the essence of gun shooting!!! Using various heroes with different abilities, you can play various roles in battlefields such as 'Assault', 'Deathmatch', 'Escort' and ETC. Each hero can be raised individually, they also have own 'ranking', 'weapons' and 'skill'. There are no cash weapons and heroes. And you can get even gold bonuses via medals and victories. Therefore, all players in the game are equal. Join the clan and try to shine your own clan. Until that day when all of your heroes are the best heroes of MilkChoco Online-FPS. ==== Features ==== - Easy to Control - Small size (No additional downloads) - Low latency online FPS ==== Notice ==== 1. In-game guide, please use the book button on the top left corner. 2. Login will be a Game Center account. Even if you change your mobile phone, you can log in with the same account and play with your existing records. 3. We have reviewed all the important reviews you have left, and have incorporated them into your updates. We will be a developer who really listens. thank you. 4. If you use Hack or Patcher,  you can be blocked permanently. ==== Update scheduled content ==== 1. Messages with friends 2. Star league (ladder league)",https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/16/49/77/16497742-6601-d752-13c5-dd92e53550c2/AppIcon-1x_U007emarketing-0-9-85-220.png/1200x630wa.png,Simple FPS online Game,4.4 • 1.3K Ratings,Free,,"April 8, 2020","So, I just started playing this game and have gottten a couple hours into it, Amd I really really love it and think it’s a fun game that is Balaced and enjoyable, But I already see some serious flaws. First of all, The coins mechanic is broken. When I booted up the game I looked at the classes and decided on being a stealth/sniper, so I wanted the recon and invisible class, and a good sniper and maybe a melee weapon. This is unattainable without dozens of hours of work, and it took me (I counted) 63 full games to get the invisible class, (pretty low level.) FIX THIS! It should take a maximum of 25 games to get 1,000 coins and get a low level class. Still a lot, not the 80-90 that it is now. The only other flaw I saw in this game was the maps, which are made out of very basic slabs of grey and black and white, with ought any curves or design or anything. Make them better, and THEN I will spend money on your game. I really like this game but it is really starting to get on my nerves. First it is impossible to get money. In a good game I’ll get 20 coins, and some guns cost 9000. Thats about 450 good games. Second the guns are rip offs. The default AR is better than half of the paid for guns, and the 900 dollar pump shotgun is ok. Having the 900 dollar one, I grinded for the 3400 tactical one... I have never used a worse gun. It does 28 damage... 28!!!!! And all you get in return is 2 more ammo and a slightly faster firing gun. I spent hours of my life for something that could barely kill a worm. Furthermore, 80% of the time I’ll shoot someone and the damage will only be counted hours later, while I’m dead. Then the other 20% of the time it won’t do any damage. I’ll be shooting someone with my rip-off gun and they’ll just be standing there doing nothing. Also that ripoff gun I purchased can only be used for one character... one!!!! Speaking of characters, you give zero information on them. Now the only way I’ll choose who to get is based on whether or not they look cool. The only reason this isn’t a zero star review is because I love the consent and overall game. But things need to be fixed. I love MilkChoco and I love the new stuff added to the game, but there’s some stuff I can’t ignore, starting with;The Blade Skill: It does WAY too much damage and is almost unreactable. Most classes can’t take it at full HP and the tankier classes are crippled by it. I would love it if you lowered the damage output since it’s really annoying to deal with.2: Skill balancing in general: While the blade skill is overpowered, the Myocat skill is underpowered. It only does 130 and while that’s a lot, every class in the game can take that kinda damage and this is a game where most of the weapons you’ll have are guns. If I have to go close range with a signature skill, I want it to be worth it. Either buff Myocat skill or change it to be a support skill or a different type of offense. 3: Connection. Even on my strongest internet, the game still lags a lot and I can sometimes can’t log in.4: Coins. You’ve heard this a lot before, so I’ll keep it brief. With the newer guns and classes being more expensive, MilkChoco veterans like me have to grind for hours to get enough coins to buy it. I can’t get the new Mago class and I’m sad because it seems really cool. If you increase coins given(about 100 or 200 coins per match), or lowering the price of guns so the coins that we do get are worth something, it encourages smarter gameplay and experimentation with different guns and classes. Other than that, the game is amazing! I love the new Assault map! ","MilkChoco - Online FPS, GameParadiso, Games, Action, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Grand Theft Auto V: The Manual,"GTAV: The Manual is the official manual app for Grand Theft Auto V. Contains over 100 pages covering everything from Game Controls, and Features to a tour through the local neighborhoods and activities across Los Santos and Blaine County - plus a special interactive version of the game map to zoom in and explore. Developed by series creators Rockstar North, Grand Theft Auto V is available worldwide for PlayStation®4, PlayStation®3, Xbox One®, Xbox 360® and PC. Set in the biggest, most dynamic and most diverse open world ever created, Grand Theft Auto V blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters. When a young street hustler, a retired bank robber and a terrifying psychopath find themselves entangled with some of the most frightening and deranged elements of the criminal underworld, the U.S. government and the entertainment industry, they must pull off a series of dangerous heists to survive in a ruthless city in which they can trust nobody, least of all each other. All the classic hallmarks of the groundbreaking series return, including incredible attention to detail and Grand Theft Auto’s darkly humorous take on modern culture. Grand Theft Auto V also comes with Grand Theft Auto Online, the dynamic and ever-evolving Grand Theft Auto universe for multiple players. With the expansive game world and fluid mechanics of Grand Theft Auto V as a foundation, Grand Theft Auto Online expands and evolves with regular content updates created by Rockstar Games and the Grand Theft Auto community. With assistance from characters from the story of Grand Theft Auto V, players rise through the criminal ranks by banding together with friends to complete Jobs for cash, purchase properties, vehicles and character upgrades, compete in traditional competitive modes such as Deathmatches or Races by land, air or sea, or create your own content to play and share with the Grand Theft Auto community. To find out more about GTAV, visit http://www.rockstargames.com/V Watch GTAV trailers, gameplay videos and more at: http://www.rockstargames.com/V/videos",https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/fb/e3/2e/fbe32e8e-a0ac-88a4-57e3-771d90159f4b/AppIcon-0-0-1x_U007emarketing-0-0-5-85-220.png/1200x630wa.png,,3.9 • 2.2K Ratings,Free,#157 in Adventure,"February 14, 2020","This is the kind of application every great game series should have. An application where users can read about the game, the characters, the settings, the music, tutorial guides and more. Not only is this app informative but the aesthetics are high quality with a sleek streamline interface, navigation to each section is made easy with a pop up menu on the right side and text that is easy to read although for those who can't see that well it would be nice to have customization. From the start the app sets you on the right course as you choose what platform you are playing the game on and what language it is set in. From there you are able to explore the app as you see fit. There is a good wealth of content included in the application concerning information of all kind. The only area that I can tell that could use more data is Grand Theft Online. Maybe in the future this section will be beefed up. Besides that the app seems to fire on all cylinders. If you are a owner of this game, you need to own this manual. I think that this is a great manual especially when using the map feature.  It is helpful for finding various things that are not shown on the in game map like police stations.  I especially like the satellite feature for the map to actually see what the map looks like instead of the gps style map in the game.  Don’t listen to the children that give this low scores because they thought it was the real game.  If you don’t know what a manual means, then you shouldn’t play a 17+ game. This manual is an ultimate guide into the great and grand world of Grand Theft Auto V. Every single person who owns the game shall own this! It feels incredible to play the game and just click on the app whenever you need to check something out like the map. It really helps you know the game a little bit more and explore Los Santos and Blaine County. There is literally nothing else to say about this but that it will definitely help you throughout you playing the Story Mode or even I believe Online. Get it, it’s FREE! ","Grand Theft Auto V: The Manual, Rockstar Games, Games, Action, Adventure, Reference, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎2-bit Cowboy Rides Again,"When the bandits bust out of jail, it's up to you, Sheriff, to round 'em up. Journey across vast plains on your trusty steed. Dive into flooded town ruins. Take on mini missions to earn extra cash, then spend it on fancy hats and shiny belt buckles. Gamble at casinos and drink at saloons. The legend of the Old West rides again! * Play as a cowboy or cowgirl * Customizable characters * Huge, varied levels to explore * Gamble at casinos and drink at saloons * Earn bits, buy powerups and costumes * Ride horses, bulls, and minecarts * Gameboy style retro graphics * Gamepad support Follow us for the latest info and game news! • http://crescentmoongames.com/other-games/ • https://facebook.com/crescentmoongames • https://twitter.com/cm_games • https://twitter.com/retrophonegames",https://is5-ssl.mzstatic.com/image/thumb/Purple20/v4/3d/b9/c5/3db9c50d-5235-0518-62f6-b8cc770ca3ff/mzl.fgqtsorz.png/1200x630wa.png,,4.5 • 15 Ratings,$1.99,,"June 14, 2016","I am giving this 5 stars because of the very quick fix to bugs in level 3. Thanks! I do hope that the game will be updated with more content and incentives besides hats etc. Hope that one day you guys will create a complete super Mario land clone ;) It's a fun little game. I've always liked platformers like this. The problem I have with this game is it's is somewhat glitchy. I often run into invisible walls and sometimes I get sunk into the ground. If you are jumping from the edge of a platform, it will not allow you to jump twice,  assuming that the jump was already on its second jump. In the 12th level, I keep getting stuck between the rail and the ground when I am riding in the rail cart... then I die and have to start the whole level over again.  Little things like that can ruin a game. I hope they improve this game, because I really do like it and it is worth a play through even with the glitches. ","2-bit Cowboy Rides Again, Crescent Moon Games, Games, Action, Adventure, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Star Horizon,"Please Note: Star Horizon requires an iPad2/iPhone 4s/iPod Touch 5 or above. “Star Horizon stands on its own as a title that is well worth playing. The visual splendor alone would be more than enough to justify the purchase.”  - 148Apps  “Star Horizon is a fiery and fitting tribute the likes of Afterburner and Starfox.” - AppSpy  “Star Horizon serves as a showpiece for the iOS platform(…) the controls feel fine-tuned to near perfection.” - MacLife  “Star Horizon is a slick pulse-raising arcade shooter that evokes many of the best sci-fi space battles in recent cinematic and TV history”  - Pocketgamer “Best Mobile Game” nominee @Game Connection Paris 2013 / Selected Projects finals Play as John, a private in the service of the Federation. Focus on amusing story and dynamic battles. Journey through the cosmos, upgrade your ship, make important story decisions and have fun fighting those epic bosses! • Grab your phone and play instantly. Your screen is your controller (virtual sticks? Yuck!) • Rescue your friends or obey the orders – follow the storyline and make choices • Don't get shot - upgrade your ship with in-game currency (no IAP!) and weapons to finish your enemies in multiple astonishing ways • Follow the relationship between the man and the machine spiced up with amusing conversations and absurd humor. • Discover a wild variety of spaceships and fleet • Use your skills to unlock achievements • Support for game controllers  John doesn't fight to rack up kills or for honor and pride. At least not anymore. He just fights to survive and get the whole thing over with. His ship is controlled by Ellie, an Artificial Intelligence which is programmed to help pilots stay mentally strong throughout the war and which cannot kill human beings.   Federation is about to turn the tide of the war but then things start to go wrong. Ellie puts John into hibernation for 1000 years. Now he will have to discover what really happened and maybe, but just maybe, save the galaxy.",https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/c0/8a/3c/c08a3c5b-84ef-9b69-0577-e31182362da7/AppIcon-1x_U007emarketing-0-85-220-0-9.png/1200x630wa.png,,4.4 • 17 Ratings,$3.99,,"December 12, 2017","I like this game a lot for its graphics and overall gameplay, but there are definitely issues to solve when it comes to balance. I think that enemies in easy mode should be nerfed, as they are clearly hard to fight starting with Chameleon. This is a brilliantly made game! The game is easy to pick up but it is hard to master. The graphics are very impressive for a mobile game and while the music and the voice acting isn't the best, it is serviceable. Honestly, this is one of my favorite games to play on my phone and I have zero complaints. Excellent job, developer(s)! ","Star Horizon, Orbital Knight sp. z o.o., Games, Casual, Action, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Adventure Pinball,"You play as a hero to fight the dark force in a fantasy pinball world. Features - A game combine pinball, adventure and role playing game. - 1 world ruled by Dark Queen to save. - 3 adventure field and lots mini dungeon to play. - 7 boss and dark army to fight! - 8 powerful equipment to collect.",https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/11/9e/c0/119ec0f0-7674-0c1e-eb9d-c3c4a8ee9e04/AppIcon-1x_U007emarketing-0-10-0-85-220.png/1200x630wa.png,A fantasy adventure on pinball,4.0 • 23 Ratings,$1.99,,"April 14, 2020","I’ve beaten it. Overall, I enjoyed my short time with this game. Sometimes a loss felt out of my control, but at least the Continue system is generous. Some interesting twists in combining combat with pinball, but there’s a limited amount of content and depth here. Would enjoy new content in the future. As is, a fun way to kill a few hours. Great concept, love the Game Boy Pocket grayscale art style, and there are plenty of different screens/tables to keep me entertained. However, this game is almost impossible to play because the left flipper only works about half the time, and it’s nothing but infuriating. Also, the pause button and magnifying glass button are in a terrible location on the screen; they’re right where I want to have my thumbs to use the flippers. And the fact that the magnifying glass icon starts highlighting itself every time you enter a new screen because it wants you to press it and read about the goals in the room is super annoying. Why would I want to stop the action to read the goals? Either make the goals more apparent without instruction (which I actually think they are, so it’s redundant) or have the goals flash on screen like every other video pinball game on the market.This has the potential to be a really fun game, but between the ONLY action input not working properly, and some questionable design and UI choices, I’ll probably never be able to actually enjoy it.Definitely do not recommend this game in its current state. A fun game... when it works. As other reviewers have said, there is an issue with the flippers not registering being tapped which is really frustrating. Also, there is a magnifying glass that appears in the lower left corner that you can tap on to tell you what tasks you need to perform, but the game doesn’t pause when you do so you’ll most likely lose your ball. Also frustrating. It’s a shame cause it’s a fun concept but until these bugs and issues are fixed, I’d stay away. ","Adventure Pinball, Game Stew, Games, Adventure, Action, Entertainment, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Cat and Mouse .io,"The iconic cat-and-mouse game arrives on your phone!  Escape the cat and don't get caught, each captured mouse transforms as a cat! Be the last mouse alive!",https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/72/86/fa/7286fa0a-c14b-011c-4460-b5436b27fa08/AppIcon-1x_U007emarketing-0-7-0-85-220.png/1200x630wa.png,Don't get caught!,4.8 • 13.5K Ratings,Free,#43 in Action,"September 24, 2020","This game has the potential to rise above the rest, the only thing that disturbs me is that voodoo tends to put in effort and then move on as well as imply other games mechanics that can at times be annoying such as the insane amount of ads and a special “club” that you have to pay for, even the ads that play on the bottom/top of the screens during games, lastly please add a joystick it would be much appreciated Otherwise I hope the best for this game and voodoo. I’ve played his game for a long time now. The update really changed things. I love the update, but I still slightly miss the old version, where you have to stay alive as long as possible, and not just until the clock runs out. I do love that you can play as a mouse. I will recommend that there still be the old version, as a game mode. I do recommend this game to everyone, and I might never stop playing. I love this game and I have only been playing for two days. I am walkways exited to get back to playing this game and all the funny wins. But what I think you should add is: a few powerups for the cats (because the mice have the advantage in many ways), a leaderboard so you can track things like: most wins, longest win streak, most rounds played, and so on. I can’t wait to see everything you add in the next update! ","Cat and Mouse .io, HOMA GAMES, Games, Casual, Action, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
‎Blacksmith of the Sand Kingdom,"Muspelheim, a nation of desert and wilderness, also named as “the Sand Kingdom.” Volker, a blacksmith's son, always dreamed of becoming an adventurer, but he finds himself adventuring aiming to become a court blacksmith at the same time! Adventure into dungeons, get materials by gathering and looting monsters, then craft high quality equipment. Whether you equip them or display and sell them in your shop is up to you. Find other party members at the Guild and fulfill requests to progress through the story and earn rewards. There are 14 classes, faith selection, and passive skills that grant you free character customization! The adventurer blacksmith begins his journey! * This app supports devices newer than iPhone 6s, iPad 5, and iPad mini 5 with iOS 11 and up. User support on non-supported devices is not guaranteed.",https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/e4/88/c7/e488c748-83f2-5c9b-0821-8442bd5d1d56/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/1200x630wa.png,Smithy Management Fantasy RPG,3.0 • 4 Ratings,$6.99,,"October 7, 2020",,"Blacksmith of the Sand Kingdom, Kotobuki Solution Co., Ltd., Games, Action, Role Playing, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes"
